
1,0.19794872,5.05181331,0.00082359,0.00000100,0.03039591,0.00030351

2,0.20295413,9.85444368,0.00083010,0.00000100,0.03027768,0.00030630

4,0.20804581,19.22653476,0.00083170,0.00000100,0.03016746,0.00030341

8,0.20529206,38.96887237,0.00082559,0.00000100,0.03052111,0.00030341

16,0.24184166,66.15899039,0.00083091,0.00000100,0.03009717,0.00030339

32,0.24724186,129.42792295,0.00082929,0.00000100,0.03047364,0.00030332

64,0.25359568,252.37023460,0.00082888,0.00000100,0.03025942,0.00030341

128,0.30515369,419.46076482,0.00083110,0.00000100,0.03032386,0.00030341

256,0.35660443,717.88228020,0.00082478,0.00000100,0.03013918,0.00030341

512,0.44689355,1145.68670827,0.00082731,0.00000100,0.03026278,0.00030339

1024,0.56469597,1813.36516770,0.00082900,0.00000100,0.03022983,0.00030379

2048,0.81180513,2522.77291091,0.00082378,0.00000100,0.03042645,0.00030332

4096,1.48024736,2767.10508616,0.00083120,0.00000100,0.03015945,0.00030339

8192,2.30454375,3554.71663559,0.00082547,0.00000100,0.03165138,0.00030341

16384,3.86123835,4243.19830476,0.00083260,0.00000100,0.03010936,0.00030339

32768,6.73469476,4865.55088006,0.00082547,0.00000100,0.03024838,0.00030351

65536,9.63964639,6798.58962955,0.00082571,0.00000100,0.03016124,0.00030339

131072,17.20289167,7619.18417741,0.00082550,0.00000100,0.03059721,0.00030339

262144,35.79855145,7322.75439633,0.00082969,0.00000100,0.03035672,0.00030332

524288,69.46804700,7547.18208749,0.00082960,0.00000100,0.03018231,0.00030339

1048576,130.82149206,8015.31906959,0.00082452,0.00000100,0.03017325,0.00030339
