2,960000,10,1.00
3,960000,10,1.94
4,960000,10,2.91
5,960000,10,3.89
6,960000,10,4.83
7,960000,10,5.75
8,960000,10,6.74
9,960000,10,7.49
10,960000,10,8.51
11,960000,10,9.36
12,960000,10,10.45
13,960000,10,11.26
14,960000,10,11.65
15,960000,10,12.74
16,960000,10,12.81
17,960000,10,13.18
18,960000,10,14.02
19,960000,10,14.67
20,960000,10,15.35
21,960000,10,16.80
22,960000,10,18.92
23,960000,10,19.76
24,960000,10,19.95
25,960000,10,19.93
26,960000,10,19.82
27,960000,10,20.08
28,960000,10,20.66
29,960000,10,20.50
30,960000,10,21.61
31,960000,10,22.54
32,960000,10,24.09
33,960000,10,24.27
34,960000,10,25.64
35,960000,10,26.34
36,960000,10,26.18
37,960000,10,23.87
38,960000,10,23.85
39,960000,10,19.13
40,960000,10,21.70
41,960000,10,20.06
42,960000,10,19.07
43,960000,10,15.08
44,960000,10,20.68
45,960000,10,16.46
46,960000,10,16.17
47,960000,10,15.28
48,960000,10,18.79
49,960000,10,17.03
50,960000,10,16.38
51,960000,10,15.86
52,960000,10,16.07
53,960000,10,13.48
54,960000,10,16.45
55,960000,10,13.67
56,960000,10,16.26
57,960000,10,12.77
58,960000,10,12.23
59,960000,10,15.13
60,960000,10,11.22
61,960000,10,11.13
62,960000,10,10.20
63,960000,10,10.90
64,960000,10,14.74
